time,weather_code (wmo code),temperature_2m_max (°C),daylight_duration (s),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (km/h)
3/24/23,73,-5.8,45563.1,0.1,1.54,13.6
3/25/23,0,-3.6,45968.03,0,0,14.3
3/26/23,2,-6.8,46373.82,0,0,12.2
3/27/23,3,-3.8,46780.32,0,0,14.3
3/28/23,71,-4.4,47187.35,0,0.35,16.6
3/29/23,73,-3.6,47594.73,0.1,1.61,15.9
3/30/23,2,-1.6,48002.28,0,0,18.6
3/31/23,3,4.9,48409.82,0,0,18.9
4/1/23,73,3.9,48817.17,0,0.7,14.3
4/2/23,0,0.3,49224.13,0,0,14.8
4/3/23,3,1.3,49630.51,0,0,13
4/4/23,3,4.5,50036.1,0,0,9.8
4/5/23,3,3.2,50440.7,0,0,8.9
4/6/23,3,2,50844.09,0,0,6.8
4/7/23,51,6.2,51246.03,0.8,0,14.3
4/8/23,3,9.2,51646.73,0,0,14.8
4/9/23,3,4.2,52049.11,0,0,13
4/10/23,3,3,52453.6,0,0,9.5
4/11/23,71,3.3,52860.06,0.5,0.07,10
4/12/23,3,3.1,53268.32,0,0,12.3
4/13/23,3,0.9,53678.22,0,0,17.7
4/14/23,0,-0.5,54089.59,0,0,13.5
4/15/23,3,0.6,54502.25,0,0,8.2
4/16/23,3,3.9,54916.02,0,0,9.8
4/17/23,3,10.3,55330.72,0,0,13
4/18/23,3,8.1,55746.14,0,0,12.6
4/19/23,3,14.1,56162.07,0,0,14.1
4/20/23,3,15,56578.31,0,0,15.9
4/21/23,3,12.8,56994.61,0,0,17.1
4/22/23,73,6.1,57410.73,0.2,0.77,20.7
4/23/23,71,2,57826.41,0,0.21,10.9
4/24/23,73,3,58241.38,0,1.19,18.6
4/25/23,75,0.8,58655.35,0.2,9.1,26.7
4/26/23,63,4.1,59068,14.6,0,18.9
4/27/23,61,5.1,59479,9.7,0,9.3
4/28/23,71,7.8,59888.51,0,0.21,12
4/29/23,51,7.3,60299.66,0.3,0,10.3
4/30/23,3,6.3,60712.96,0,0,11
5/1/23,3,8.9,61128.25,0,0,13.1
5/2/23,51,7.7,61545.33,0.2,0,14.4
5/3/23,73,4.8,61964.02,0,0.63,18.5
5/4/23,71,4.6,62384.13,0,0.14,16.6
5/5/23,3,7.2,62805.4,0,0,13.6
5/6/23,3,10.6,63227.62,0,0,14.3
5/7/23,3,13.1,63650.52,0,0,11.5
5/8/23,3,16.4,64073.8,0,0,17.4
5/9/23,3,16.9,64497.21,0,0,15.6
5/10/23,3,19.5,64920.38,0,0,19.8
5/11/23,3,21.7,65342.98,0,0,15.9
5/12/23,3,17.7,65764.61,0,0,12
5/13/23,3,17.8,66184.84,0,0,12.7
5/14/23,3,21.6,66603.24,0,0,18.5
5/15/23,3,21,67019.29,0,0,16.3
5/16/23,53,17.1,67432.45,1.2,0,15.9
5/17/23,53,12.5,67842.12,4.1,0,15
5/18/23,51,13.5,68248.22,2.4,0,24.1
5/19/23,3,19.5,68654.02,0,0,15.5
5/20/23,2,21.7,69060.02,0,0,14.1
5/21/23,1,22.8,69465.94,0,0,20.4
5/22/23,3,17,69871.44,0,0,12.1
5/23/23,3,19,70276.19,0,0,16.9
5/24/23,55,18.4,70679.77,3.2,0,25.1
5/25/23,3,14.3,71081.78,0,0,26.7
5/26/23,3,12.9,71481.73,0,0,21.7
5/27/23,3,14.3,71879.08,0,0,22.5
5/28/23,51,16.4,72273.25,1.1,0,22
5/29/23,53,13.5,72663.56,2.2,0,22.5
